id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
1,2025,Indian Express - Entertainment,1,"2022 was the year Aamir Khan’s Laal Singh Chaddha crashed, while Rocket Boys soared: 25 Years of Indian Cinema",,,25 years of Indian Cinema;Aamir Khan;Alia Bhatt;Ranbir Kapoor,https://indianexpress.com/article/entertainment/bollywood/2022-was-the-year-aamir-khan-laal-singh-chaddha-crashed-while-rocket-boys-soared-10398799/
2,2025,Indian Express - Entertainment,2,Aamir Khan beats up Vir Das for making ‘flop’ film Happy Patel Khatarnak Jasoos; asks ‘Yeh film hai?’,,,Aamir Khan;Aamir Khan productions;Imran Khan films;vir das;Vir Das films,https://indianexpress.com/article/entertainment/bollywood/aamir-khan-beats-up-vir-das-flop-film-happy-patel-khatarnak-jasoos-10399621/
3,2025,Indian Express - Entertainment,3,"Akshay Kumar-Priyanka Chopra’s relationship soured; I cut him from my film, says Suneel Darshan: ‘His mistake, why should she suffer?’",,,Akshay Kumar;Priyanka Chopra,https://indianexpress.com/article/entertainment/bollywood/akshay-kumar-priyanka-chopra-relationship-soured-cut-him-film-suneel-darshan-10399684/
4,2025,Indian Express - Entertainment,4,"Amid Sooryavanshi and 83, a small OTT series emerged as the best of 2021: 25 Years of Indian Cinema",,,25 years of Indian Cinema;Akshay Kumar;Ayushmann Khurrana;Huma Qureshi;Ranveer Singh,https://indianexpress.com/article/entertainment/bollywood/amid-sooryavanshi-and-83-a-small-ott-series-emerged-as-the-best-of-2021-10396364/
5,2025,Indian Express - Entertainment,5,Deepika Padukone-Ranveer Singh share loved-up moments at his cousin’s Goa wedding; he walks bride down the aisle,,,Deepika Padukone;Ranveer Singh,https://indianexpress.com/article/entertainment/bollywood/deepika-padukone-ranveer-singh-share-loved-up-moments-at-his-cousins-goa-wedding-he-walks-bride-down-the-aisle-10399250/
6,2025,Indian Express - Entertainment,6,"Dev Anand stopped me from getting plastic surgery, says Shatrughan Sinha: ‘Those cuts will become your…’",,,Dev Anand;Shatrughan Sinha,https://indianexpress.com/article/entertainment/bollywood/dev-anand-stopped-me-from-getting-plastic-surgery-says-shatrughan-sinha-those-cuts-will-become-your-10400006/
7,2025,Indian Express - Entertainment,7,"Dharmendra gifted ancestral property worth Rs 5 cr to his nephew, not his children for this reason",,,Dharmendra,https://indianexpress.com/article/entertainment/bollywood/dharmendra-gifted-ancestral-property-worth-rs-5-cr-to-nephew-not-sunny-deol-esha-deol-10400004/
8,2025,Indian Express - Entertainment,8,"Dharmendra’s quiet funeral was family’s decision, says Hema Malini: ‘Final days were cruel; couldn’t bear…’",,,A post shared by Hamad Al Reyami (CINEMA 🎬)UAE (@hamadreyami),https://indianexpress.com/article/entertainment/bollywood/dharmendra-quiet-funeral-familys-decision-hema-malini-final-days-cruel-10399615/
9,2025,Indian Express - Entertainment,9,"Dhurandhar Movie: Release Date, Trailer, Tickets price, Advance Booking, Box Office Collection Prediction, other details you need to know",,,A post shared by Ranveer Singh (@ranveersingh),https://indianexpress.com/article/entertainment/bollywood/dhurandhar-movie-release-date-trailer-tickets-price-advance-booking-box-office-collection-prediction-other-details-you-need-to-know-10399381/
10,2025,Indian Express - Entertainment,10,‘I faced my jail time with dignity’: Sanjay Dutt says he was convicted ‘without them ever finding a gun’,,,Sanjay Dutt;Sanjay Dutt jail,https://indianexpress.com/article/entertainment/bollywood/i-faced-my-jail-time-with-dignity-sanjay-dutt-says-he-was-convicted-without-them-ever-finding-a-gun-10398640/
11,2025,Indian Express - Entertainment,11,Kantara director Rishab Shetty fails to get a spot on IMDb 2025 list; Ahaan Panday-Aneet Padda emerge as most popular actors,,,Ahaan Panday;Aneet Padda;mohit suri;Rishab Shetty,https://indianexpress.com/article/entertainment/bollywood/kantara-rishab-shetty-nowhere-imdb-list-2025-saiyaara-ahaan-panday-aneet-padda-most-popular-actors-10399493/
12,2025,Indian Express - Entertainment,12,"Kapil Sharma admits TV made him lazy, unfit: ‘Dhele ki mehnat nahi hoti’",,,Kapil Sharma,https://indianexpress.com/article/entertainment/bollywood/kapil-sharma-admits-tv-made-him-lazy-unfit-dhele-ki-mehnat-nahi-hoti-10399495/
13,2025,Indian Express - Entertainment,13,Kartik Aaryan dances at  sister Kritika’s haldi ceremony; their dad has the cutest reaction to wedding hashtag,,,A post shared by Kartik_UK_FanClub 🇬🇧 (@queen._ujji),https://indianexpress.com/article/entertainment/bollywood/kartik-aaryan-dances-at-sister-kritika-haldi-ceremony-wedding-hashtag-tikki-10399260/
14,2025,Indian Express - Entertainment,14,"Malaika Arora says ‘men divorce, marry women half their age’: ‘Everyone says what a man, but a woman is judged’",,,Arbaaz Khan;Arjun Kapoor;Malaika Arora,https://indianexpress.com/article/entertainment/bollywood/malaika-arora-men-divorce-marry-women-half-their-age-arbaaz-khan-sshura-khan-10399843/
15,2025,Indian Express - Entertainment,15,Malini Awasthi slams Rasika Dugal for saying ‘won’t celebrate misogyny’ after playing Beena Tripathi in Mirzapur: ‘ Height of double standards!’,,,animal;Malini Awasthi;mirzapur;Ranbir Kapoor;Rashmika Mandanna;Rasika Dugal,https://indianexpress.com/article/entertainment/bollywood/malini-awasthi-slams-rasika-dugal-wont-celebrate-misogyny-animal-mirzapur-beena-tripathi-10399415/
16,2025,Indian Express - Entertainment,16,Palash Muchhal visits Premanand Maharaj as wedding with Smriti Mandhana remains postponed,,,Smriti Mandhana,https://indianexpress.com/article/entertainment/bollywood/palash-muchhal-visits-premanand-maharaj-as-wedding-with-smriti-mandhana-remains-postponed-10399285/
