id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
1,2025,Indian Express - Sports,1,"Prakash Padukone after stepping away from Padukone academy: ‘Not easy decision, arrived at after considerable reflection’",,,Prakash Padukone,https://indianexpress.com/article/sports/badminton/prakash-padukone-stepping-down-bangalore-academy-not-easy-decision-10399986/
2,2025,Indian Express - Sports,2,"Elite player, 2nd to world champions, and now team captain: P Harikrishna readies for new role at GCL with Mumba Masters",,,,https://indianexpress.com/article/sports/chess/harikrishna-new-role-gcl-team-captain-mumba-masters-10399938/
3,2025,Indian Express - Sports,3,Ashes 2025: Suspense around Pat Cummins’ inclusion intensifies as Australia delay announcing XI for second Test,,,,https://indianexpress.com/article/sports/cricket/ashes-2025-australia-playing-11-supense-2nd-test-pat-cummins-10400159/
4,2025,Indian Express - Sports,4,"Australia vs England 2nd Ashes Test Match: Date, Time, Squad, Pitch-Weather Report, Other Details",,,Ashes Test;Australia cricket team;Australia vs England;England Cricket Board,https://indianexpress.com/article/sports/cricket/australia-vs-england-2nd-ashes-test-match-date-time-squad-pitch-weather-report-other-details-10399408/
5,2025,Indian Express - Sports,5,"As BCCI pushes for seniors to play domestic cricket, Virat Kohli says, ‘I’ve never been a big believer of lot of preparation’",,,India vs SA;India Vs South Africa;India vs South Africa ODIs;Kohli;Virat Kohli,https://indianexpress.com/article/sports/cricket/bcci-pushes-seniors-domestic-cricket-virat-kohli-never-been-believer-preparation-10394918/
6,2025,Indian Express - Sports,6,No pressure but motivated to do well for Warriorz in WPL: Deepti Sharma,,,Deepti Sharma;Women's Premier League;WPL,https://indianexpress.com/article/sports/cricket/deepti-sharma-up-warriorz-wpl-motivated-no-pressure-10398857/
7,2025,Indian Express - Sports,7,"I don’t want to see anyone bowled over on our streets, says Queensland minister after England players pictured riding two-wheelers without helmet",,,Cricket;Cricket News;England;England vs Australia;the Ashes series,https://indianexpress.com/article/sports/cricket/england-players-riding-two-wheelers-without-helmet-queensland-minister-10398577/
8,2025,Indian Express - Sports,8,"Furious Virat, Calm Kohli —  how Virat Kohli’s Raipur hundred was different from his century in Ranchi",,,India vs SA;India Vs South Africa;India vs South Africa ODIs;Kohli;Virat Kohli,https://indianexpress.com/article/sports/cricket/furious-virat-calm-kohli-raipur-hundred-different-century-ranchi-10400317/
9,2025,Indian Express - Sports,9,"‘I know he’s (Gambhir) saying it’s a rebuild, but it’s not…’: Moeen Ali on Indian coach ‘transition’ remark",,,Gautam Gambhir;India Vs South Africa;Moeen Ali,https://indianexpress.com/article/sports/cricket/gautam-gambhir-not-a-rebuild-moeen-ali-india-transition-remark-10400224/
10,2025,Indian Express - Sports,10,‘The brutal truth is that bowling seriously fast means living permanently on the edge of…’: Greg Chappell on pacers like Pat Cummins and Josh Hazelwood’s injuries,,,Josh Hazlewood;Pat Cummins,https://indianexpress.com/article/sports/cricket/greg-chappell-pat-cummins-josh-hazlewood-injuries-fast-bowling-10400316/
