id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
dbfbeb670e91,2013,GS Paper I,1,"Though not very useful from the point of view of a connected political history of South India, the Sangam literature portrays the social and economic conditions of its time with remarkable vividness. Comment.",200,10,Art & culture,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
7503fc694055,2013,GS Paper I,2,Discuss the Tandava dance as recorded in the early Indian inscriptions.,100,5,Art & culture,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
c0168646a5f8,2013,GS Paper I,3,Chola architecture represents a high watermark in the evolution of temple architecture. Discuss.,100,5,Art & culture,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
4ea18a0e58a5,2013,GS Paper I,4,"Defying the barriers of age, gender and religion, the Indian women became the torch bearer during the struggle for freedom in India. Discuss.",200,10,Modern History,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
793f12cfcc14,2013,GS Paper I,5,Several foreigners made India their homeland and participated in various movements. Analyze their role in the Indian struggle for freedom.,200,10,Modern History,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
42064610a2b4,2013,GS Paper I,6,"In many ways, Lord Dalhousie was the founder of modern India. Elaborate.",200,10,Modern History,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
c0a27f358fb7,2013,GS Paper I,7,Critically discuss the objectives of Bhoodan and Gramdan movements initiated by Acharya Vinoba Bhave and their success.,200,10,India Indpendence,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
ca04d067bc30,2013,GS Paper I,8,Write a critical note on the evolution and significance of the slogan “Jai Jawan Jai Kisan”.,200,10,India Indpendence,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
a24000171ea2,2013,GS Paper I,9,Discuss the contribution of Maulana Abul Kalam Azad to pre-and post independent India.,200,10,India Indpendence,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
8c939af695e8,2013,GS Paper I,10,Analyse the circumstances that led to Tashkent Agreement in 1966. Discuss the highlights of the agreement.,200,10,India Indpendence,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
ce6cea598588,2013,GS Paper I,11,Critically examine the compulsions which prompted India to play a decisive role in the emergence of Bangladesh.,200,10,India Indpendence,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
9b57d23ceeae,2013,GS Paper I,12,“Latecomer” Industrial revolution in Japan involved certain factors that were markedly different from what west had experienced.,200,10,World History,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
f8f28880e5c0,2013,GS Paper I,13,Africa was chopped into states artificially created by accident of European competition. Analyse.,200,10,World History,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
782d6f3f5bff,2013,GS Paper I,14,American Revolution was an economic revolt against mercantilism. Substantiate.,200,10,World History,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
5e6852076824,2013,GS Paper I,15,What policy instruments were deployed to contain the great economic depression? (10 marks-200 words),,,Economy,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
de531faa245e,2013,GS Paper I,16,Discuss the various social problems which originated out of the speedy process of urbanization in India.,200,10,Indian Society,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
04b30936957b,2013,GS Paper I,17,“Male membership needs to be encouraged in order to make women’s organizations free from gender bias.” Comment.,200,10,Indian Society,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
c4ee87e335cb,2013,GS Paper I,18,Critically examine the effect of globalization on the aged population in India.,200,10,Indian Society,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
016fe1861127,2013,GS Paper I,19,Growing feeling of regionalism is an important factor in the generation of demand for a separate State. Discuss.,200,10,Indian Society,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
3e9a411b9830,2013,GS Paper I,20,"What do you understand about the theory of continental drift? Discuss the prominent evidences in its Support.[100 Words, 5 Marks]",,,Geography,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
8f7b82f66c9d,2013,GS Paper I,21,"The recent cyclone on the east coast of India was called “Phailin”. How are tropical cyclones named across the world? Elaborate.[100 Words, 5 Marks]",,,Geography,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
5a13924c6ad1,2013,GS Paper I,22,"Bring out the causes for the formation of heat islands in the urban habitat of the world.[100 Words, 5 Marks]",,,Geography,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
035bae882148,2013,GS Paper I,23,"What do you understand about the phenomenon of temperature inversion in meteorology? How does it affect the weather and habitants of the place?[100 Words, 5 Marks]",,,Geography,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
caf0f869e055,2013,GS Paper I,24,"Major hot deserts in the northern hemisphere are located between 20-30 degrees north and on the western side of the continents. Why? [100 Words, 5 Marks]",,,Geography,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
fa0f743e7209,2013,GS Paper I,25,"Bring Out the causes for more frequent landslide in the Himalayas than in western Ghat. [100 Words, 5 Marks]",,,Geography,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
a299fb7d312d,2013,GS Paper I,26,"There is no formation of deltas by rivers of the western Ghat. Why?[100 Words, 5 Marks]",,,Geography,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
217ecf6ad891,2013,GS Paper I,27,"Do you agree that there is a growing trend of opening new sugar mills in the southern state of India? Discuss with justification.[100 Words, 5 Marks]",,,Geography,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
e56e5171b69e,2013,GS Paper I,28,"Analyze the factor for highly decentralized cotton textile industry in India.[100 Words, 5 Marks]",,,Geography,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
b8f58d26e8ce,2013,GS Paper I,29,"With growing scarcity of fossil fuels, atomic energy is gaining more and more significance in India. Discuss the availability of raw material required for the generation of atomic energy in India and in the world.[200 Words, 10 Marks]",,,Geography,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
2cca8cd12dd1,2013,GS Paper I,30,"It is said that India has substantial reserves of shale oil and gas, which can feed the needs of the country for a quarter century. However, tapping of the resource does not appear to be high on agenda. Discuss critically the availability and issues involved. [200 Words, 10 Marks].",,,Geography,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
3ef2a1c043bb,2013,GS Paper II,1,"The role of individual MPs (Members of Parliament) has diminished over the years and as a result healthy constructive debates on policy issues are not usually witnessed. How far can this be attributed to the anti-defection law, which was legislated but with a different intention?",200,10,Polity,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
00a48fa96aca,2013,GS Paper II,2,"Discuss Section 66A of IT Act, with reference to its alleged violation of Article 19 of the Constitution.",200,10,Polity,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
bc93ea7a5ce4,2013,GS Paper II,3,Recent directives from Ministry of Petroleum and Natural Gas are perceived by the ‘Nagas’ as a threat to override the exceptional status enjoyed by the State. Discuss in light of Article 371A of the Indian Constitution.,200,10,Polity,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
0ec91825d988,2013,GS Paper II,4,The Supreme Court of India keeps a check on arbitrary power of the Parliament in amending the Constitution. Discuss critically.,200,10,Polity,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
ad37cb9556b2,2013,GS Paper II,5,"Many State Governments further bifurcate geographical administrative areas like Districts and Talukas for better governance. In light of the above, can it also be justified that more number of smaller States would bring in effective governance at State level? Discuss.",200,10,governance,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
b6fbc5a64f68,2013,GS Paper II,6,Constitutional mechanisms to resolve the inter-state water disputes have failed to address and solve the problems. Is the failure due to structural or process inadequacy or both? Discuss.,200,10,Polity,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
a6af16215c28,2013,GS Paper II,7,Discuss the recommendations of the 13th Finance Commission which have been a departure from the previous commissions for strengthening the local government finances.,200,10,Polity,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
1e08b922d0e2,2013,GS Paper II,8,"The product diversification of financial institutions and insurance companies, resulting in overlapping of products and services strengthens the case for the merger of the two regulatory agencies, namely SEBI and IRDA. Justify.",200,10,governance,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
95b654c4e2d0,2013,GS Paper II,9,"The concept of Mid Day Meal (MDM) scheme is almost a century old in India with early beginnings in Madras Presidency in pre-independent India. The scheme has again been given impetus in most states in the last two decades. Critically examine its twin objectives, latest mandates and success.",200,10,Social Justice,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
0b1a9faec7da,2013,GS Paper II,10,"Pressure group politics is sometimes seen as the informal face of politics. With regards to the above, assess the structure and functioning of pressure groups in India.",200,10,governance,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
793c569b902f,2013,GS Paper II,11,"The legitimacy and accountability of Self Help Groups (SHGs) and their patrons, the micro-finance outfits, need systematic assessment and scrutiny for the sustained success of the concept. Discuss.",200,10,governance,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
143d09e083bf,2013,GS Paper II,12,The Central Government frequently complains on the poor performance of the State Governments in eradicating suffering of the vulnerable sections of the society. Restructuring of Centrally sponsored schemes across the sectors for ameliorating the cause of vulnerable sections of population aims at providing flexibility to the States in better implementation. Critically evaluate.,200,10,Social Justice,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
64e38bb963b3,2013,GS Paper II,13,"Electronic cash transfer system for the welfare schemes is an ambitious project to minimize corruption, eliminate wastage and facilitate reforms. Comment.",,,governance,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
c26d32ba2a6f,2013,GS Paper II,14,The basis of providing urban amenities in rural areas (PURA) is rooted in establishing connectivity. Comment.,200,10,governance,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
a61aa1958e8b,2013,GS Paper II,15,Identify the Millennium Development Goals (MDGs) that are related to health.Discuss the success of the actions taken by the Government for achieving the same.,200,10,Social Justice,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
ec6e4b87afe6,2013,GS Paper II,16,"Though Citizen’s charters have been formulated by many public service delivery organizations, there is no corresponding improvement in the level of citizens’ satisfaction and quality of services being provided. Analyse.",200,10,governance,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
4aa09e3af2da,2013,GS Paper II,17,"A national Lokpal, however strong it may be, cannot resolve the problems of immorality in public affairs’. Discuss.",200,10,governance,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
2fef9b20acbe,2013,GS Paper II,18,"The proposed withdrawal of the International Security Assistance Force (ISAF) from Afghanistan in 2014 is fraught with major security implications for the counters of the region. Examine in light of the fact that India is faced with a plethora of challenges and needs to safeguard its own strategic interests. [200 Words, 10 Marks].",,,International Relation,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
9cc2381d0fdc,2013,GS Paper II,19,"What do you understand by ‘The String of Pearls’? How does it impact India? Briefly outline the steps taken by India to counter this. [200 Words, 10 Marks].",,,International Relation,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
4bb6735943ee,2013,GS Paper II,20,"Economic ties between India and Japan, while growing in recent years, are still far below their potential. Elucidate the policy constraints which are inhibiting this growth. [200 words,10 Marks]",,,International Relation,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
1b0d6fe3d634,2013,GS Paper II,21,"The protests in Shahbag Square in Dhaka in Bangladesh reveal a fundamental split in society between the nationalists and Islamic forces. What is its significance for India? [200 Words, 10 Marks].",,,International Relation,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
6d75f2e89615,2013,GS Paper II,22,"Discuss the political developments in Maldives in the last two years. Should they be of cause of concern to India? [200 words, 10 marks]",,,International Relation,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
c629b4196b1f,2013,GS Paper II,23,"In respect of India of India- Sri Lanka relation, discuss how domestic factors influence foreign policy.[200 Words, 10 Marks]",,,International Relation,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
c82ec72171ff,2013,GS Paper II,24,"What is meant by Gujral doctrine? Does it have any relevance today? Discuss. [200 Words, 10 Marks].",,,International Relation,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
554d970ac37d,2013,GS Paper II,25,"The World Bank and the IMF, Collectively known as the Bretton wood Institutions are the two intergovernmental pillars supporting the structure of the world’s economic and financial order. Superficially, the world bank and the IMF exhibit many common characteristics, yet these roles, functions and mandates are distinctly different. Elucidate. (200 Word, 10 Marks)",,,International Relation,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
1d564da155be,2013,GS Paper III,1,"With a consideration towards the strategy of inclusive growth, the new Companies Bill, 2013 has indirectly made CSR a mandatory obligation. Discuss the challenges expected in its implementation in right earnest. Also discuss other provisions in the Bill and their implications.",200,10,Economy,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
661bb33d560e,2013,GS Paper III,2,"What were the reasons for the introduction of Fiscal Responsibility and Budget Management (FRBM) Act, 2003? Discuss critically its salient features and their effectiveness.",200,10,Economy,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
15f81e42993d,2013,GS Paper III,3,"What is the meaning of the term ‘tax expenditure’? Taking housing sector as an example, discuss how it influences the budgetary policies of the government.",200,10,Economy,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
125a2b0913f0,2013,GS Paper III,4,The Food Security Bill is expected to eliminate hunger and malnutrition in India. Critically discuss various apprehensions in its effective implementation along with the concerns it has generated in WTO.,200,10,Economy,https://pwonlyias.com/mains-solved-papers-by-year/gs-paper-2013/
