id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
cb95aa3c-cb67-4488-bd87-be091529f1c7,2025,RAU IAS Editorial Analysis,2,"RBI Cautions States on Fiscal Discipline. Context: The Reserve Bank of India (RBI) has warned states against fiscal slippages , rising borrowing, and pre-election populist spending , highlighting risks to long-term financial stability. Pre-election populist spending refers to the increase in subsidies and welfare outlays mainly to attract voter support , rather than to promote sustained economic growth. Key Concerns Highlighted by RBI Rising Borrowing Costs: Yields on State Development Loans (SDLs) have risen sharply. Higher yields mean states must pay more interest , increasing the overall debt burden. Increasing Market Borrowing: States have borrowed ₹5.23 trillion till October 2025 , which is 62% of their FY26 borrowing plan , compared to ₹4.37 trillion in the same period last year. This indicates faster-than-expected fiscal stress . Fiscal Deficit Pressure: The combined fiscal deficit for states is expected to be 3.2% of GDP . However, analysts caution that pre-election expenditure could push this above the recommended limits , threatening fiscal stability. Pre-Election Populist Spending: During eight state elections (2023–25) , states spent nearly ₹68,000 crore on short-term welfare schemes. For example, Bihar allocated 32.48% of its tax revenues to such schemes, reducing funds available for infrastructure and long-term development. What are SDLs? State Development Loans (SDLs) are bonds issued by state governments to raise funds for development expenses and fiscal deficit management. These are auctioned by the RBI and carry interest, contributing to long-term debt liabilities of states. RBI Recommendations Recommendation Purpose Productive Spending Shift funds from temporary subsidies toward capital expenditure (roads, power, irrigation) that builds future growth. Fiscal Prudence Adhere to FRBM Act targets to maintain balanced budgets and macroeconomic stability. Borrowing Strategy Spread borrowings across maturities and maintain transparent communication to lower interest costs. Fiscal Transparency Clearly report contingent liabilities and off-budget borrowings to avoid hidden debt risks. Why This Matters States account for nearly 60% of public sector capital expenditure in India. Excessive populist spending reduces funds for development , slowing growth and worsening debt sustainability. Maintaining fiscal discipline strengthens investor confidence , supports stable interest rates , and ensures inter-generational equity . Conclusion RBI’s caution underscores the importance of sustainable fiscal management . While welfare spending remains essential, states must prioritize long-term developmental spending and maintain transparent and prudent financial practices to safeguard economic stability.",,,RAU IAS;Editorial Analysis;Current Affairs,https://compass.rauias.com/2025/11/01/
300da5ec-0d4d-4fd4-8550-4ef3f104025f,2025,RAU IAS Editorial Analysis,3,"India’s Forex Reserves Reach Record High. Context: India’s foreign exchange (forex) reserves have surged by USD 4.496 billion , touching a new all-time high of USD 702.28 billion , according to the Reserve Bank of India (RBI). With this, India remains among the top five reserve-holding nations globally, after China, Japan, Switzerland, and Russia . Latest Composition of India’s Forex Reserves Component Latest Value Change Foreign Currency Assets (FCA) USD 570.41 bn ▼ USD 1.692 bn Gold Reserves USD 108.55 bn ▲ USD 6.181 bn Special Drawing Rights (SDRs) USD 18.72 bn ▲ USD 38 mn IMF Reserve Position USD 4.60 bn ▼ USD 30 mn About Forex Reserves Forex reserves are external financial assets held by the RBI in foreign currencies, gold, and IMF-related positions. They are maintained to: Ensure exchange rate stability of the Rupee, Provide liquidity for external trade and debt payments , and Strengthen investor and global market confidence in India’s economic stability. Components of Forex Reserves: Foreign Currency Assets (FCA): Securities and deposits in global currencies such as USD, Euro, Yen, etc. Gold Reserves: Physical gold and gold deposits valued at international prices. Special Drawing Rights (SDRs): Reserve assets allocated by the IMF to support global liquidity. Reserve Tranche Position: India’s withdrawable contribution with the IMF for balance-of-payments needs. Significance for India Exchange Rate Stability: Enables RBI to intervene in forex markets to curb sharp rupee fluctuations. Import Cover: Current reserves can finance over 10 months of imports , enhancing economic security. Crisis Buffer: Helps India withstand global economic shocks, trade imbalances, or capital outflows. Investor Confidence: High reserves encourage greater foreign investment and reduce perceived economic risk. Portfolio Diversification: Rising gold reserves act as a hedge against fluctuations in the US dollar. Challenges Heavy RBI intervention can sometimes reduce export competitiveness by influencing rupee value. Large reserves need careful management to avoid low-return accumulation costs . Conclusion India’s record forex reserves reflect strong macroeconomic fundamentals , resilient external sector performance, and proactive monetary management by the RBI. Sustaining export growth, attracting stable capital inflows, and prudent reserve diversification remain key for long-term stability.",,,RAU IAS;Editorial Analysis;Current Affairs,https://compass.rauias.com/2025/11/01/
cadb18c0-b9ae-4282-933c-e07750a897a3,2025,RAU IAS Editorial Analysis,4,"Daily News: November 3, 2025 - Compass by Rau's IAS. Table of Contents About Poseidon Technical Specifications (as reported) Strategic Significance Global Implications India's Relevance Conclusion",,,RAU IAS;Editorial Analysis;Current Affairs,https://compass.rauias.com/2025/11/03/
7f150242-4974-4cd2-98bd-5a3e6ac96795,2025,RAU IAS Editorial Analysis,5,"Poseidon Underwater Drone: Russia’s Nuclear-Powered UUV. Context: According to the Russian Ministry of Defence and the Nuclear Observation Agency (NOA) , Russia has successfully tested its nuclear-powered, nuclear-armed underwater drone — Poseidon . It represents a new class of Unmanned Underwater Vehicles (UUVs) capable of strategic nuclear delivery with unprecedented endurance and stealth. About Poseidon Type: Nuclear-powered, nuclear-capable Unmanned Underwater Vehicle (UUV). Developer: Rubin Design Bureau, Russia. Objective: To deliver conventional or nuclear payloads across intercontinental distances and potentially generate radioactive tsunamis capable of destroying coastal cities and naval bases. Power Source: A miniaturized nuclear reactor , giving Poseidon virtually unlimited operational range and the ability to patrol underwater for months without surfacing. Launch Platform: Poseidon is designed to be carried and launched from special-purpose submarines such as the Belgorod (Project 09852) and Khabarovsk (Project 09851) . Technical Specifications (as reported) Parameter Details Range Practically unlimited (due to nuclear propulsion) Speed Up to 100 knots (~185 km/h) Operational Depth > 1,000 meters Length ~20 meters Diameter ~2 meters Payload Up to 2 megatons (nuclear warhead) Strategic Significance Second-Strike Capability: Poseidon enhances Russia’s nuclear deterrence by ensuring a second-strike option even if land-based systems are neutralized. Stealth and Survivability: Operating at great depths and high speeds, Poseidon is difficult to detect or intercept with existing sonar or anti-submarine technologies. Psychological Deterrence: Its ability to potentially cause “radioactive tsunamis” along enemy coastlines adds a new dimension to nuclear deterrence, raising ethical and strategic debates globally. Global Implications Arms Control Concerns: Poseidon’s introduction complicates future nuclear arms treaties , as current frameworks (like New START ) do not account for autonomous underwater nuclear systems. Strategic Stability: It may trigger an underwater arms race , with the U.S., China, and NATO nations likely to accelerate counter-drone and detection technologies. Environmental Risks: The use of nuclear propulsion raises concerns about marine contamination in the event of malfunction or accident. India’s Relevance While India does not possess such a weapon, Poseidon’s test underscores the growing importance of autonomous naval systems and underwater deterrence in future warfare. It aligns with India’s own focus on AUVs (Autonomous Underwater Vehicles) and nuclear submarine capabilities for strategic balance in the Indo-Pacific. Conclusion Poseidon marks a transformative shift in underwater warfare — merging nuclear power, autonomy, and deterrence into a single platform. Its emergence signals a new era in strategic naval technology, challenging global arms control norms and redefining the contours of maritime security.",,,RAU IAS;Editorial Analysis;Current Affairs,https://compass.rauias.com/2025/11/03/
e2b5a8d6-f6ed-482b-9328-284ce3ba3106,2025,RAU IAS Editorial Analysis,6,"India’s Maritime Vision: Strengthening Sea Connectivity and Global Competitiveness. India’s maritime sector plays a pivotal role in its economic and strategic landscape. With 12 major ports and over 200 non-major ports along a 7,500 km coastline, the sector handles nearly 95% of India’s trade by volume and 70% by value. Recognizing this significance, the government has launched two landmark roadmaps — Maritime India Vision (MIV) 2030 and Maritime Amrit Kaal Vision 2047 — aimed at transforming India into a global maritime power. Maritime India Vision (MIV) 2030 Launched in 2021, MIV 2030 is a comprehensive national strategy to position India among the world’s top 10 maritime nations by 2030. It outlines 150+ initiatives requiring investments of around ₹3–3.5 lakh crore across port modernization, coastal shipping, shipbuilding, and inland waterways. The vision is guided by six key principles: challenge analysis , innovation , time-bound implementation , global benchmarking , human capital development , and Waste-to-Wealth recycling of maritime scrap and resources. MIV 2030 builds upon existing initiatives such as Sagarmala , ensuring continuity in infrastructure, connectivity, and logistics reforms. The Maritime Development Fund (MDF) ensures long-term project financing, while the Financial Assistance Scheme encourages domestic shipbuilding. Digitization is being enhanced through platforms like the Sagarmanthan portal and the National Logistics Portal (Marine) . Key Focus Areas The policy framework identifies ten thematic areas including shipbuilding, port governance, cruise tourism, inland waterways, and maritime safety. Notably, 23 National Waterways have been prioritized to promote low-cost and eco-friendly cargo movement. Additionally, the National Maritime Heritage Complex (NMHC) at Lothal, Gujarat, aims to showcase India’s ancient maritime culture and trade networks. Maritime Amrit Kaal Vision 2047 Launched in 2023 at the Global Maritime India Summit, this long-term roadmap seeks to make India a global maritime leader by 2047 , aligning with the centenary of independence. It proposes 300+ initiatives with investments of ~₹80 lakh crore . Key targets include: Increasing port capacity to 10,000 MTPA Positioning India among the top five shipbuilding nations Creating over 1.5 crore employment opportunities Building strong maritime skill and research clusters The strategy rests on four pillars: Port-led Development , Shipping & Shipbuilding , Seamless Logistics , and Maritime Skill Development . Growth Trends (2014–2025) Inland Waterway cargo grew from 18 MMT to 146 MMT (710% rise) Operational waterways increased from 3 to 29 Port capacity nearly doubled to 2,762 MMTPA Vessel turnaround time reduced from 93 hours to 48 hours Indian seafarers now form 12% of the global workforce Conclusion India’s maritime transformation is not only an economic strategy but also a strategic imperative. With sustained investment, skill development, and digital integration, India is steadily moving toward global maritime competitiveness and regional leadership.",,,RAU IAS;Editorial Analysis;Current Affairs,https://compass.rauias.com/2025/11/03/
9bb3d4c5-f6cb-4c5c-9e62-c82d05d4ee5f,2025,RAU IAS Editorial Analysis,7,"National Household Income Survey (NHIS). Context: The Ministry of Statistics and Programme Implementation (MoSPI) will launch India’s first-ever National Household Income Survey (NHIS) in February 2026 . This landmark initiative aims to generate reliable, comprehensive, and regionally representative data on household income and its distribution across different socio-economic groups. About the National Household Income Survey (NHIS) Objective: The primary goal of the NHIS is to provide accurate income estimates and assess income inequality across rural and urban India. It will help policymakers design targeted welfare measures, strengthen fiscal planning, and evaluate the impact of government schemes on income distribution. Implementing Agency: The survey will be conducted by the National Statistics Office (NSO) under the MoSPI , marking a significant expansion of India’s official statistical architecture. Coverage and Scope: Both rural and urban households will be covered. Data collection will be carried out through digitally supervised household visits to ensure transparency and minimize human error. The survey will capture income from multiple dimensions, including: Wages and salaries Self-employment Property income Pensions and remittances Welfare and social transfers Methodology: A Technical Expert Group (TEG) , chaired by Surjit S. Bhalla , will design the methodology using global best practices . This will ensure consistency with international standards used in income and inequality studies by organizations such as the World Bank and OECD . Challenges in Conducting NHIS Sensitivity Barrier: Pre-tests conducted in 2025 revealed that 95% of respondents were unwilling to disclose income details, reflecting deep-seated privacy and trust concerns. Fragmented Sources: Rural households often have multiple informal income streams , making it difficult to verify and aggregate income accurately. Non-Monetised Output: The self-consumption of farm produce and barter-based exchanges complicate valuation of non-marketed income. Data Inconsistency: Persistent under-reporting and recall bias may result in lower reported income compared to actual consumption levels. Irregular Earnings: Seasonal labourers and self-employed workers face fluctuating earnings, leading to inconsistent and incomplete data capture . Significance Will fill a critical gap in India’s socio-economic data landscape, as previous surveys (like NSSO consumption surveys) only provided expenditure-based insights. Supports the measurement of income inequality (Gini coefficient) and helps track regional disparities . Enhances India’s capacity to align with SDG Goal 10 – Reduced Inequalities . Facilitates evidence-based policymaking for taxation, welfare targeting, and poverty alleviation . Key Economic Context India’s per capita Gross National Income (GNI) for 2024–25 stood at ₹2.31 lakh (current prices) , marking an 8.7% year-on-year increase . However, this growth masks regional and class-based disparities—making NHIS data crucial for accurate, equitable policy design. Conclusion The National Household Income Survey marks a transformative step towards improving India’s statistical precision and policy targeting. Despite implementation challenges, it promises to bridge the long-standing gap between income and consumption data , enabling a more inclusive understanding of India’s economic reality.",,,RAU IAS;Editorial Analysis;Current Affairs,https://compass.rauias.com/2025/11/03/
7223b088-4eda-45e8-bc72-3dd23c970937,2025,RAU IAS Editorial Analysis,8,"Daily News: November 4, 2025 - Compass by Rau's IAS. Table of Contents Background Key Recommendations from the Policy Framework 1. National Governance and Oversight 2. Relocations as an Exceptional Measure 3. Co-existence as the Preferred Option 4. Legal Safeguards and Grievance Redressal Challenges in Relocating Forest Dwellers Way Forward",,,RAU IAS;Editorial Analysis;Current Affairs,https://compass.rauias.com/2025/11/04/
53dc2b66-0f0b-4a90-aaf7-9e1cb2a42c76,2025,RAU IAS Editorial Analysis,9,"Policy Framework on Relocation of Forest-Dwellers from Tiger Reserves. Context: The Ministry of Tribal Affairs (MoTA) has submitted a policy brief titled “Reconciling Conservation and Community Rights” to the Ministry of Environment, Forest, and Climate Change (MoEFCC) . The brief proposes a structured Policy Framework for ensuring humane, rights-based relocation and coexistence of forest-dwelling communities within India’s Tiger Reserves . Background India’s tiger conservation success —with tiger numbers rising to over 3,000 (as per the 2022 census) —owes much to strong legal frameworks such as the Wildlife (Protection) Act, 1972 (WLPA) and the Forest Rights Act, 2006 (FRA) . However, conflicts arise when conservation goals lead to forced or poorly managed relocations of indigenous and forest-dependent communities. The proposed framework seeks to balance ecological integrity with social justice , ensuring both tiger habitats and human rights are protected. Key Recommendations from the Policy Framework 1. National Governance and Oversight National Framework: Jointly developed by MoTA and MoEFCC to standardise relocation procedures , establish timelines, and ensure accountability. Public Database: A National Database on Conservation–Community Interface will track relocation cases, compensation details, and post-relocation outcomes. Independent Audits: Accredited agencies will conduct annual compliance audits under FRA 2006, WLPA 1972, and human rights norms. 2. Relocations as an Exceptional Measure Voluntary and Last Resort: Relocation must only occur with verified ecological necessity and community consent . Rights Verification: All Individual and Community Forest Rights (CFRs) must be recognised at the Gram Sabha level before relocation. Consent Safeguards: Implementation of Free, Prior, and Informed Consent (FPIC) with oversight by civil society observers. 3. Co-existence as the Preferred Option Right to Remain: Communities can continue living inside traditional forest areas while exercising rights under FRA 2006. In-situ Development: Provision of essential services— healthcare, education, housing, and water —to make coexistence sustainable. Shared Governance: Gram Sabha members to be included in Tiger Conservation Foundations and Eco-Development Committees . 4. Legal Safeguards and Grievance Redressal Compliance Officer: Every tiger reserve must appoint one to monitor FRA and WLPA compliance. Grievance System: A three-tier redressal mechanism (district–state–national) will address rights violations or compensation disputes. Legal Recourse: The SC/ST (Prevention of Atrocities) Act, 1989 will apply in cases of coercion, forced eviction, or denial of rights. Challenges in Relocating Forest Dwellers Livelihood Collapse: Forest-based economies are replaced by insecure, debt-prone livelihoods. Example: 2019 study on Sahariya Adivasis (Kuno NP, MP) – over 90% fell into debt post-relocation. Compensation Deficit: The ₹15 lakh NTCA package ignores provisions of the LARR Act, 2013 , which ensures higher and fairer compensation. FRA Coercion: Cases like Baiga communities of Achanakmar TR show relocation without granting Community Forest Rights . Health Decline: Post-relocation diets rely on PDS food , reducing nutrition diversity and increasing malnutrition (e.g., Kanha TR, MP ). Conflict Shifting: Moves from core to buffer zones increase human–wildlife conflicts , as seen in Tadoba-Andhari TR, Maharashtra . Way Forward A people-centric conservation model must integrate ecological sustainability with human dignity . The proposed framework emphasizes voluntariness, transparency, and shared governance , aligning conservation with constitutional principles of justice and inclusivity .",,,RAU IAS;Editorial Analysis;Current Affairs,https://compass.rauias.com/2025/11/04/
7a49dd09-eee3-4b4d-943f-628bcb61eeac,2025,RAU IAS Editorial Analysis,10,"India - Australia Cooperation on Counter-Terrorism. Context : The 15th India–Australia Joint Working Group (JWG) on Counter Terrorism was held in Canberra to enhance cooperation in tackling global terrorism and violent extremism. The dialogue, co-chaired by senior officials from both countries, reaffirmed mutual commitment to a free, open, and secure Indo-Pacific . Key Outcomes of the Meeting Broad Cooperation: Both sides reviewed domestic, regional, and global terrorism threats and discussed mechanisms for coordination between law enforcement, judicial bodies, and maritime security agencies . Technology & Radicalisation: They resolved to counter the misuse of emerging technologies —such as encrypted communications, social media, and cryptocurrencies—by terrorist networks, while reinforcing efforts against radicalisation and violent extremism . Information Sharing: Reaffirmed the importance of timely intelligence exchange and operational coordination, especially to curb terrorism in the Indo-Pacific and Indian Ocean Region (IOR) . Multilateral Engagement: Both nations agreed to deepen cooperation through UN , FATF , GCTF , IORA , and QUAD mechanisms to combat terror financing and cross-border terror networks. India–Australia Strategic Partnership Comprehensive Strategic Partnership (CSP), 2020: The relationship was elevated to a CSP, establishing annual leaders’ summits and 2+2 ministerial dialogues , strengthening institutional cooperation in security and trade. Defence & Security Cooperation: Joint military engagements such as AUSINDEX (naval exercises) , Malabar drills , and logistics support agreements boost maritime domain awareness and regional security. Economic Cooperation: The India–Australia Economic Cooperation and Trade Agreement (ECTA, 2022) —India’s first trade deal with a developed nation in a decade—reduced tariffs on over 85% of goods, enhancing trade diversification. Critical Minerals Partnership: Both nations are collaborating on securing supply chains for lithium, cobalt, and rare earth elements , supporting India’s green energy and EV manufacturing goals . Education & Migration: The Migration and Mobility Partnership Agreement (MMPA, 2023) facilitates smoother movement of students, researchers, and professionals , reinforcing people-to-people ties. Significance This enhanced counter-terrorism cooperation aligns with India’s strategic objective of strengthening maritime security and regional stability in the Indo-Pacific. It also reinforces Australia’s role as a trusted partner in maintaining rules-based order and ensuring peace in the region. Way Forward Institutionalise real-time intelligence exchange frameworks . Enhance capacity-building and training programmes for counter-terrorism forces. Expand cooperation in cyber and financial crime tracking . Promote collaboration in multilateral counter-terror forums to set global norms on terror financing and tech misuse. Source: Ministry of External Affairs (MEA), Government of India; Department of Foreign Affairs and Trade (DFAT), Australia.",,,RAU IAS;Editorial Analysis;Current Affairs,https://compass.rauias.com/2025/11/04/
3a25f597-a761-4eb2-b5e5-ed9692d91611,2025,RAU IAS Editorial Analysis,11,"MoSPI’s New CPI Framework for Inclusive and Accurate Price Measurement. The Consumer Price Index (CPI) is one of the most important indicators for measuring inflation, influencing monetary policy decisions, welfare schemes, and cost-of-living adjustments. Recently, the Ministry of Statistics and Programme Implementation (MoSPI) has proposed a significant revision in the methodology for calculating CPI, particularly in the housing component. The aim is to make the index more representative of real living conditions across both urban and rural India. Background Currently, housing has a weight of 21.67% in the urban CPI and 10.07% at the all-India level . However, this component is derived primarily from urban rental data and, in several cases, uses the House Rent Allowance (HRA) of government employees as a proxy for rent levels. Economists have pointed out that this approach fails to capture actual rental movements in growing smaller towns and does not account for rural housing dynamics, where ownership and imputed rent patterns differ significantly. Key Proposed Changes 1. Inclusion of Rural Housing Data For the first time, the CPI housing index will incorporate rental data from rural areas . This shift is based on the Household Consumption Expenditure Survey (HCES) 2023–24 , which includes both actual rent paid and imputed rent for owner-occupied homes. This is important because rural India reports high home-ownership but also experiences value changes in housing that must be reflected in inflation estimates. 2. Exclusion of Employer-Provided Accommodation Rent data from government or employer-provided dwellings will no longer be used. In such cases, HRA depends on administrative pay scales rather than the market rental environment. Their inclusion was leading to distorted inflation signals , particularly in metropolitan centers. 3. Monthly Rent Data Collection The present methodology collects rental data only once in six months , leading to delayed or smoothed inflation readings. Under the revised framework, rent data will be collected monthly from all selected dwellings , improving the timeliness and sensitivity of the housing index. 4. Expanded Sampling and Global Best Practices The revised framework draws on technical guidance from IMF experts , emphasizing panel-based rent tracking to maintain month-to-month comparability. This will reduce volatility and ensure a more stable and representative inflation measure. Significance of the Reform Enhances accuracy and responsiveness of CPI to real housing market changes Improves representation of small towns and rural households Strengthens economic planning and monetary policy calibration Aligns India’s inflation measurement approach with global statistical standards Conclusion MoSPI’s revision to the CPI housing framework marks a major step toward inclusive and evidence-based inflation measurement . By reflecting actual housing costs across diverse regions, the new methodology is expected to improve policy outcomes, welfare targeting, and the credibility of India’s inflation statistics.",,,RAU IAS;Editorial Analysis;Current Affairs,https://compass.rauias.com/2025/11/04/
