id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
1,2022-2023,Geography PT 730 Notes,1,"The United Nations has declared 2024 the International Year Of Camelids. The decision has been taken to highlight the significant importance of camelids in the lives of people across the world. y A Camelid refers to any of the even-toed ungulates of the family y Camelidae. E.g. camels, llamas, alpacas, guanacos, and vicuñas. y They are known for their remarkable adaptations to arid and high- y altitude environments. y These ungulates can be classified into two major groups: the Old World y and the New World. y The Old World Camelids, found in northern Africa and central Asia are y the true camels, such as the dromedary camels (one-humped camel) y and the Bactrian camels (two-humped camel) y The South American Camelids (New World Camelids) include the modern y llamas, alpacas, guanacos, and vicuñas. Wild populations of South y American Camelids, such as vicuñas, inhabit the high-altitude regions of y the Andes Mountains....",,,Camelids,file:///Users/harshvardhanjha/upsc-news-digest/docs/Geography-PT-730.pdf
2,2022-2023,Geography PT 730 Notes,2,"y It is a giant bay just 320 kms from the South Pole. y A large portion of the sea is covered by the Ross Ice Shelf, the largest ice shelf in Antarctica. y The sea is remote and positioned south and slightly east of New Zealand. y It is the first protected area in Antarctica, and home to most of the world’s penguins and many species of whale....",,,Ross Sea,file:///Users/harshvardhanjha/upsc-news-digest/docs/Geography-PT-730.pdf
3,2022-2023,Geography PT 730 Notes,3,"y It is located in the western corner of Nilgiris Plateau in the state of y Tamil Nadu. y It is a part of the Nilgiri Biosphere Reserve. y It is sandwiched between the Mudumalai National Park and the Silent Valley National Park. y It was established with the prime motive of conserving its keystone y species – the Nilgiri Tahr. y It is a UNESCO World Heritage Site and was formerly known as Nilgiri Tahr National Park. y It is also home to Mukurthi Peak (2,554m), the fourth highest peak in the Nilgiri Hills. Vegetation: y The majority of the landscape in the reserve is covered with shrubs and mountainous grasslands. y The areas are covered with sholas and lush green tropical grasslands. Flora: y Sholas, Gaultheria fragrantissima, Helichrysum and Berberis tinctoria, Rhododendrons, Cinnamon, Mahonia, Satyrium, Raspberries etc. Fauna: y Nilgiri tahr, Indian elephants, Nilgiri Langur, Bengal tiger and bonnet macaque etc....",,,Mukurthi National Park,file:///Users/harshvardhanjha/upsc-news-digest/docs/Geography-PT-730.pdf
4,2022-2023,Geography PT 730 Notes,4,"y It is located in the Maharajganj district of Uttar Pradesh. y It was declared as a Wildlife Sanctuary in June 1987. y Borders: On the northern side, it shares the international boundary with y Nepal, and on the eastern border is Bihar’s Valmiki Tiger Reserve. y Vegetation: The vegetation of this area is of North Indian Moist y Deciduous type. y Rivers: It is drained by the great Gandak, the little Gandak, Pyas and y Rohin rivers....",,,Sohagibarwa Wildlife Sanctuary:,file:///Users/harshvardhanjha/upsc-news-digest/docs/Geography-PT-730.pdf
5,2022-2023,Geography PT 730 Notes,5,"A Russian flight found itself making an inadvertent touchdown on the icy expanse of the Kolyma River in Russia’s Far East. The accidental landing of the plane was a result of an error made by the pilot. y Location: It is a river in northeastern Siberia, far eastern Russia, rising in the Kolyma Mountains....",,,Kolyma River,file:///Users/harshvardhanjha/upsc-news-digest/docs/Geography-PT-730.pdf
6,2022-2023,Geography PT 730 Notes,6,"y It is a semi-aquatic carnivorous mammal native to Eurasia. y It has one of the widest distributions of all Palearctic mammals, from y Ireland to China and down to Southeast Asia. y It lives throughout Europe, North Africa, and Asia. y In India, it occurs in northern, northeastern, and southern India. Habitat: y It inhabits streams, rivers, lakes, freshwater and peat swamp forests, ocean shores, rice fields, fjords, caves, and other terrestrial habitats close by waterways. y In the Indian subcontinent, it is found in cold hills and mountain streams....",,,Eurasian Otter,file:///Users/harshvardhanjha/upsc-news-digest/docs/Geography-PT-730.pdf
7,2022-2023,Geography PT 730 Notes,7,"y It is located in Idukki District, Kerala. y It lies in the rain shadow region of the Western Ghats and receives very less amount of rainfall every year. y The south side of the sanctuary is covered by Eravikulam National park, and the north side is by Indira Gandhi Wildlife Sanctuary. Vegetation: y It has a wide array of habitat types, like deciduous forests, dry thorn scrub, riparian forest, shoals, and grasslands. y There is an extensive sandalwood forest nearby the sanctuary....",,,Chinnar Wildlife Sanctuary (CWS),file:///Users/harshvardhanjha/upsc-news-digest/docs/Geography-PT-730.pdf
8,2022-2023,Geography PT 730 Notes,8,"The Karnataka forest department has started collecting green tax – Rs 10 from two-wheelers and Rs 20 from four-wheelers – entering BR Hills through BRT Tiger Reserve. Biligiri Rangaswamy Temple (BRT) Tiger Reserve y Location: It is located in the state of Karnataka. y The tiger reserve derives its name from ‘BILIGIRI ‘, the white rocky cliff which has a temple of Lord ‘VISHNU’, locally known as ‘Rangaswamy’ y Vegetation: The forests are principally of dry deciduous type and are interspersed with moist deciduous, semi-evergreen, evergreen, and shola patches occurring at varying altitudes. y Flora: The major species include Anogeissus latifolia, Dalbergia paniculata, Grewia teliaefolia, Terminalia alata, Terminalia bellirica, Terminalia paniculata, etc. y Fauna: Animals including tiger, elephant, leopard, wild dog, bison, sambar, spotted deer, barking deer, four-horned antelope, sloth bear, wild boar, common langur, bonnet macaque, varieties of reptiles, birds, etc., are found in the Tig...",,,BR Hills Green Tax,file:///Users/harshvardhanjha/upsc-news-digest/docs/Geography-PT-730.pdf
9,2022-2023,Geography PT 730 Notes,9,North India’s first river rejuvenation project ‘Devika’ is in the final stages and it will be soon dedicated to the nation by Prime Minister Narendra Modi....,,,PM Modi set to unveil North India’s first river rejuvenation project ‘Devika’,file:///Users/harshvardhanjha/upsc-news-digest/docs/Geography-PT-730.pdf
10,2022-2023,Geography PT 730 Notes,10,"y Xylia xylocarpa is a species of tree in the family legumes. y They have a self-supporting growth form. y They have compound, broad leaves. Individuals can grow to 30m....",,,Xyliaxylocarpa,file:///Users/harshvardhanjha/upsc-news-digest/docs/Geography-PT-730.pdf
