id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
1,2022-2023,History PT730 v2 Notes,1,"Context: y Dhordo village, situated in the Kutch district of Gujarat, has earned recognition in the United Nations World Tourism Organization (UNWTO) Best Tourism Villages list. y Dhordo, located near the India-Pakistan border, is renowned for its annual Rann Utsav, which showcases the region’s rich heritage in traditional art, music, and crafts. y Additionally, it hosted the inaugural Tourism Working Group Meeting of the G-20 during India’s presidency. Additional Information: y The Best Tourism Villages initiative, launched in 2021 as part of the UNWTO Tourism for Rural Development Programme, aims to spotlight villages where tourism plays a role in preserving cultures and traditions, promoting diversity, providing economic opportunities, and safeguarding biodiversity. y The UNWTO, established in 1974 with its headquarters in Madrid, Spain, welcomed India as a member in 1975. It advocates for tourism as a catalyst for economic growth, inclusive development, and environmental sustainabi...",,,Dhordo Village (Gujarat),file:///Users/harshvardhanjha/upsc-news-digest/docs/History_PT730_v2.pdf
2,2022-2023,History PT730 v2 Notes,2,"Context: y The ‘Arattu’ festival was recently observed at the Sree Padmanabha Swamy Temple in Thiruvananthapuram. y Arattu Festival y The term “Arattu” translates to a sacred bath, signifying the ritual bathing of the Idol of Lord Padmanabha. y It spans ten days and is commemorated across various temples in Kerala. y The festival occurs twice annually, during the spring season in March or April, and the autumn season in October or November. y It commences on Karthika day and concludes on Uthram day, as per the Malayalam calendar....",,,Arattu Festival,file:///Users/harshvardhanjha/upsc-news-digest/docs/History_PT730_v2.pdf
3,2022-2023,History PT730 v2 Notes,3,"Context: The Prime Minister commemorated the martyrdom of Guru Teg Bahadur (1621-1675), extolling the ninth Sikh Guru as a symbol of bravery and resilience. About Guru Tegh Bahadur: y Guru Tegh Bahadur (1621-1675), originally named Tyaga Mal. y Earned the epithet Teg Bahadur (Mighty of The Sword) from his father, Guru Hargobind Sahib (Sixth Guru), after displaying valour in battle against the Mughals. y The Ninth of the Ten Gurus of the Sikh religion. y Established the city of Anandpur Sahib in Punjab’s Ropar district, where the last two Sikh Gurus resided and where Guru Gobind Singh Ji founded the Khalsa Panth in 1699. y Publicly beheaded on November 24, 1675, in Delhi by the order of the Mughal emperor Aurangzeb for refusing conversion to Islam, observed as ‘Shaheedi Divas’ of Guru Tegh Bahadur. y Gurudwara Sis Ganj Sahib in Chandni Chowk, Delhi, marks the site of his execution. y Contributed over 100 poetic hymns to Granth Sahib, addressing various themes like the nature of God, hum...",,,Guru Teg Bahadur,file:///Users/harshvardhanjha/upsc-news-digest/docs/History_PT730_v2.pdf
4,2022-2023,History PT730 v2 Notes,4,"Context: The Tai Ahom community recently celebrated the sacred festival of Me-Dam-Me-Phi throughout Assam, a significant cultural event deeply rooted in their traditions. Here are some key aspects of the festival: Me-Dam-Me-Phi y It is a revered occasion for the Ahom community, observed annually on January 31st, marked by communal unity and fervent celebrations. y An integral part of their cultural fabric, the festival revolves around ancestor worship, symbolised by the elements ‘Me’ for offerings, ‘Dam’ for ancestors, and ‘Phi’ for gods. y During Me-Dam-Me-Phi, Ahom families honour their ancestors and gods by offering oblations, including homemade wine, rice with meat and fish, and vegetarian dishes. Ritualistic sacrifices of buffaloes, ducks, pigs, and fowl are also performed. y Ahom priests, known as Deodhai and Bailung, lead the rituals, chanting mantras in the Ahom language and following sacred codes from manuscripts like Phralung and Banfi....",,,‘Me-Dam- Me-Phi’ celebrations,file:///Users/harshvardhanjha/upsc-news-digest/docs/History_PT730_v2.pdf
5,2022-2023,History PT730 v2 Notes,5,"Context: Recently, the Prime Minister inaugurated the newly constructed Maharishi Valmiki Airport in Ayodhya, Uttar Pradesh. About Maharishi Valmiki y Maharishi Valmiki, often hailed as Adi Kavi or the “first/original poet” in Sanskrit, holds significance for his composition of the Ramayana, regarded as the inaugural epic poem in the Sanskrit literary tradition. y The Ramayana, attributed to Valmiki, is segmented into seven cantos or Kandas, each narrating different aspects of Lord Ram’s saga. y Valmiki himself appears in the Bala and Uttara Kandas, the initial and final chapters of the epic. While some renditions suggest he was born to a Brahmin family but raised by a hunter couple after being lost in the forest, alternative narratives suggest his origin from a Bhil king....",,,Maharishi Valmiki Airport,file:///Users/harshvardhanjha/upsc-news-digest/docs/History_PT730_v2.pdf
6,2022-2023,History PT730 v2 Notes,6,"Context: Adivasis from Jharkhand’s Kolhan region commemorate January 1 as a day of mourning and remembrance. Issue of Kharsawan’s Merger with Orissa: y Kharsawan, a small princely state, opted to accede to the Union of India and join Orissa at Independence....",,,Kharsawan Massacre (1948),file:///Users/harshvardhanjha/upsc-news-digest/docs/History_PT730_v2.pdf
7,2022-2023,History PT730 v2 Notes,7,"Context: In Kangayam, Tamil Nadu, the Virarajendran Archaeological and Historical Research Centre announced a significant discovery involving two stone inscriptions. 11th-century Inscription: y Unearthed during renovations at the Siva Temple in Pazhnchervazhi village, this inscription dates back to the 11th century. y Standing at 220 cm tall, the stone features ‘Grantham’ inscriptions adorned with various symbols such as standing lamps, ‘Trishul,’ conch, and moons. y The inscriptions, containing repetitions of ‘hushra,’ ‘sham,’ and ‘lam,’ indicate the stone’s previous use in worship rituals believed to cure diseases. 16th-century Inscription: y Discovered inside the Vishnu temple within the same village, this Tamil inscription dates to the 16th century. y Measuring 80 cm in height, it sheds light on historical aspects of pottery-making, including a donation of four rupees by a potter named Kuthar Sungam on the 18th day of the Tamil month ‘Masi’ in the ‘Vilimpiya’ year. y The donation r...",,,Discovery of 11th Century ‘Grantham’ and 16th Century Tamil Inscriptions,file:///Users/harshvardhanjha/upsc-news-digest/docs/History_PT730_v2.pdf
8,2022-2023,History PT730 v2 Notes,8,"Context: Concerns have been raised regarding the proposed location for a mega oil refinery in Barsu village, Ratnagiri district, Maharashtra. Potential damage to prehistoric geoglyphs found in the area due to the refinery. These Sites are protected by the state archaeology department and the Archaeological Survey of India (ASI). Significance of Ratnagiri’s Prehistoric Rock Art: y Ratnagiri’s rock art represents some of the oldest material evidence of India’s early human creativity. y Evidence of human settlements from the Mesolithic to the early historic era....",,,Geoglyphs at Ratnagiri,file:///Users/harshvardhanjha/upsc-news-digest/docs/History_PT730_v2.pdf
9,2022-2023,History PT730 v2 Notes,9,"Context: Recently, artists endeavoured to uncover the enigma surrounding the individual responsible for creating 4,000 paintings in the Mewari miniature style, which are currently housed at the Government Museum in Udaipur. The Mewar School of Painting: y The Mewar School of Painting, belonging to the early painting centres of Rajasthan, has a rich history and distinct characteristics: y The emergence of the Mewar School of Painting is closely tied to a collection of Ragamala paintings dating back to an early period. y Within the Rajasthani school of painting, artists began incorporating texts such as Harivamsha and Sursagar (Puranas) in the latter part of the seventeenth century. y Artists of the Mewar School of Painting exhibit a preference for vibrant colours, particularly red and yellow. Their distinctive colour palette sets them apart, especially in the context of the secular and courtly atmosphere prevalent in the eighteenth century. y The subjects depicted in Mewar paintings enc...",,,Mewar,file:///Users/harshvardhanjha/upsc-news-digest/docs/History_PT730_v2.pdf
10,2022-2023,History PT730 v2 Notes,10,"Context: A bronze statue of Nadaprabhu Kempegowda, referred to as the Statue of Prosperity, was unveiled at the premises of the Kempegowda International Airport (KIA) in Bengaluru. y Weighing 220 tonnes, the statue features a sword that weighs 4 tonnes. y Nadaprabhu Kempegowda, a prominent 16th-century chieftain of the Vijayanagara empire, is acknowledged as the founder of Bengaluru. y Hailing from the dominant agricultural Vokkaliga community in south Karnataka, Kempegowda conceived the idea of a new city during a hunting expedition with his minister. y He marked the territory of the proposed city by erecting towers in its four corners. y Kempegowda’s original plan for the city included temples, a fort, water tanks, and a cantonment. Emperor Achyutharaya granted permission for the construction, leading to the establishment of Bangalore Fort and town in AD 1537. y Kempegowda’s contributions extend to the development of approximately 1,000 lakes in the city to fulfil drinking and agricu...",,,Statue of Prosperity,file:///Users/harshvardhanjha/upsc-news-digest/docs/History_PT730_v2.pdf
