id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
1,2022-2023,International Relations PT730 Notes,1,"The chief of Russia’s Wagner Private Military Company staged a short- lived Mutiny against the country›s defense establishment, pushing Russia into an unprecedented internal security crisis. Wagner Group: y The Wagner Group also known as PMC Wagner is a Russian paramilitary organization, founded in 2014. y Essentially a network of contractors that supply soldiers for hire, the group isn’t registered anywhere and its source of funding remains unknown. y The organization’s owner and head is Yevgeny Prigozhin.a y Wagner at its peak had about 50,000 mercenary recruits many of them ex-prisoners - fighting in Ukraine. y The group has operated for years on battlefields in the Middle East, Africa and Latin America. y According to media reports, it provides its services to different governments often in exchange for access to gold and diamond mines....",,,Wagner Group,file:///Users/harshvardhanjha/upsc-news-digest/docs/International-Relations-PT730.pdf
2,2022-2023,International Relations PT730 Notes,2,"In a recent meeting held in New Delhi, India and the four European countries that form the European Free Trade Association (EFTA) have expressed their willingness to resume their negotiations for a Trade and Economic Partnership Agreement (TEPA) that has been stalled since 2018. About EFTA: y It is an intergovernmental organization established in 1960 by the Stockholm Convention. y Objective: Promotes free trade and economic integration between its members within Europe and globally. y EFTA currently has 4 member countries: Iceland, Liechtenstein, Norway and Switzerland. y The EFTA countries have developed one of the largest networks of Free Trade Agreements (FTAs). These FTAs span over 60 countries and territories, including the European Union (EU). y In contrast to the EU, EFTA is not a customs union. This means that the individual EFTA States are free to set their own customs tariffs and arrange other foreign trade measures vis-à-vis the non-EFTA States....",,,European Free Trade Agreement,file:///Users/harshvardhanjha/upsc-news-digest/docs/International-Relations-PT730.pdf
3,2022-2023,International Relations PT730 Notes,3,"y It consists of the Member States of the European Union (EU) and three countries of the European Free Trade Association (EFTA) (Iceland, Liechtenstein and Norway, excluding Switzerland). y The Agreement on the EEA entered into force on 1 January 1994. y It seeks to strengthen trade and economic relations between the member countries. y It is principally concerned with the four fundamental pillars of the internal market, namely: the free movement of goods, people, services and capital....",,,European Economic Area,file:///Users/harshvardhanjha/upsc-news-digest/docs/International-Relations-PT730.pdf
4,2022-2023,International Relations PT730 Notes,4,"India has been elected to the highest statistical body of the United Nations for a four-year term beginning January 1, 2024. About UN Statistical Commission: y It was established in 1947(HQ: New York) and is the highest body of the global statistical system. y It brings together the Chief Statisticians from member states from around the world. y Functions: ⚪ It is the highest decision-making body for international statistical activities, responsible for setting statistical standards and the development of concepts and methods, including their implementation at the national and international levels. ⚪ The Statistical Commission oversees the work of the United Nations Statistics Division (UNSD), and it is a Functional Commission of the UN Economic and Social Council....",,,UN Statistical Commission,file:///Users/harshvardhanjha/upsc-news-digest/docs/International-Relations-PT730.pdf
5,2022-2023,International Relations PT730 Notes,5,"y Widely known as the world’s “Atoms for Peace and Development” organisation within the United Nations family, the IAEA is the international centre for cooperation in the nuclear field. y The IAEA was created in 1957 in response to the deep fears and expectations generated by the discoveries and diverse uses of nuclear technology. y The IAEA headquarter is in Vienna, Austria. y It is an independent international organisation that reports annually to the United Nation General Assembly. y When necessary, the IAEA also reports to the UN Security Council in regards to instances of members’ non-compliance with safeguards and security obligations....",,,International Atomic Energy Agency (IAEA),file:///Users/harshvardhanjha/upsc-news-digest/docs/International-Relations-PT730.pdf
6,2022-2023,International Relations PT730 Notes,6,"The International Atomic Energy Agency (IAEA), has released its annual data on illicit trafficking of nuclear and other radioactive material. The data shows that radioactive materials or contaminated devices are entering into the booming scraps recycling chain, posing a grave health hazard. What does the IAEA Data Suggest? y he IAEA’s Nuclear Security Plan was established to report incidents of illicit trafficking of nuclear and other radioactive material....",,,IAEA and Trafficking Database,file:///Users/harshvardhanjha/upsc-news-digest/docs/International-Relations-PT730.pdf
7,2022-2023,International Relations PT730 Notes,7,"y The latest dataset shows that incidents of unauthorised disposal of radioactive sources slipping into scrap metal or waste recycling industries are increasing. ⚪ The occurrence of such incidents indicates deficiencies in the systems to control, secure and properly dispose of radioactive material. y The resulting contaminated metal, if used to manufacture household goods, could pose a potential health problem to unsuspecting consumers. ⚪ IAEA reported 146 incidents in 2022, which is an increase of nearly 38% over the 2021 figure....",,,Free and Open Indo-Pacific,file:///Users/harshvardhanjha/upsc-news-digest/docs/International-Relations-PT730.pdf
8,2022-2023,International Relations PT730 Notes,8,"y Convention on International Civil Aviation (also known as Chicago Convention), was signed on 7 December 1944 by 52 States. y CAO is an intergovernmental specialized agency associated with the United Nations (UN). y Headquarters: Montreal, Canada y ICAO came into being on 4 April 1947. y In October of the same year, ICAO became a specialized agency of the United Nations linked to the Economic and Social Council (ECOSOC)....",,,Chicago Convention,file:///Users/harshvardhanjha/upsc-news-digest/docs/International-Relations-PT730.pdf
9,2022-2023,International Relations PT730 Notes,9,"y It is a global market-based measure designed to offset international aviation CO2 emissions in order to stabilize the levels of such emissions. y Offsetting of CO2 emissions will be achieved through the acquisition and cancellation of emissions units from the global carbon market by aeroplane operators. y It does not apply to domestic aviation. Under it, aircraft operators will begin monitoring their emissions from international flights and begin acquiring offsets for their emissions growth....",,,Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA),file:///Users/harshvardhanjha/upsc-news-digest/docs/International-Relations-PT730.pdf
10,2022-2023,International Relations PT730 Notes,10,About the UNSC Sanctions Committee y It was set up in 1999 to monitor the implementation and effects of embargoes or sanctions it has decided to impose against States as well as non-State entities or individual....,,,UNSC Sanctions Committee,file:///Users/harshvardhanjha/upsc-news-digest/docs/International-Relations-PT730.pdf
11,2022-2023,International Relations PT730 Notes,11,"The Indian Navy has recently inked an agreement with Sagar Defence Engineering Pvt. Ltd for acquiring armed autonomous boat swarms under the ‘SPRINT’ initiative. y ‘SPRINT’ Scheme is an initiative to promote development of niche defence technologies by domestic companies. y The task of development of this technology is one of the 75 challenges that have been introduced by the Indian Navy under Azadi ka Amrit Mahotsav last year. y To achieve ‘Aatmanirbharta’ in defence, Naval Innovation and Indigenisation Organisation (NIIO), in conjunction with the Defence Innovation Organisation (DIO), aims to induct at least 75 new indigenous technologies/products into the Indian Navy till august 2023. y This collaborative project is named SPRINT {Supporting Pole- Vaulting in R&D through Innovations for Defence Excellence (iDEX), NIIO and Technology Development Acceleration Cell (TDAC)}. y It was launched by Prime Minister in July, 2022. y It will transform the Navy from a ‘Buyer’s Navy’ to a ‘Builde...",,,SPRINT Scheme,file:///Users/harshvardhanjha/upsc-news-digest/docs/International-Relations-PT730.pdf
