id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
1,2022-2023,Science and Technology v5 1 Notes,1,"Genome Sequencing y It is the process of determining the order of DNA nucleotides, or bases such as Adenine, Cytosine, Thymine, and Guanines (A, C, T, G) in a genome. y Whole genome sequencing is a laboratory procedure that determines the order of bases in the genome of an organism in one process. Steps involved in Whole Genome Sequencing y DNA Sharing: Uses molecular scissors to cut the DNA into pieces that are small enough for the sequencing machine to read. y DNA Barcoding: Small pieces of DNA tags are added to identify which piece of sheared DNA belongs to which organism. y DNA Sequencing: Bar-coded DNA is combined and placed in a DNA sequencer. Each bacterial sequence’s A, C, T, and G bases are identified by the sequencer. y Data Analysis: Uses bioinformatic tools to compare the sequences from different bacteria and identify differences. Genome Sequencing in India y IndiGen Programme: Launched 2019 by the Government of India. It aims to undertake whole genome sequencing of thousan...",,,Genome Sequencing,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
2,2022-2023,Science and Technology v5 1 Notes,2,Genome Surveillance y It is the process of constantly monitoring pathogens and analysing their genetic similarities and differences. y It involves sequencing the genetic material of pathogens and identifying changes linked to the origins or characteristics of a disease....,,,Genomic Surveillance,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
3,2022-2023,Science and Technology v5 1 Notes,3,"India Biological Data Center (IBDC) y It is the first national repository for life science data in India. y IBDC has amassed 200 billion bases from 2,08,055 submissions by 50+ Indian research labs. y The IBDC dashboard provides tailored data services, real-time SARS-CoV-2 variant monitoring, and access to submitted data. y Archives all life science data from publicly-funded research in India as per Biotech-PRIDE guidelines. y Regional Centre of Biotechnology, Faridabad, in collaboration with National Informatics Centre (NIC). y Utilises the four-petabyte supercomputer ‘Brahm.’ y Backed by the Department of Biotechnology (DBT). y Adheres to FAIR (Findable, Accessible, Interoperable, and Reusable) data principles. y Houses genomes sequenced by the Indian Sars-CoV-2 Genomic Consortium (INSACOG)....",,,Indian Biological Data Center (IBDC),file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
4,2022-2023,Science and Technology v5 1 Notes,4,"Biotech-PRIDE Guidelines y Issued by Department of Biotechnology (DBT), Ministry of Science and Technology. y Key Points: Connect existing biological datasets/data centres with IBDC, forming Bio-Grid. y National Repository for biological knowledge, information, and data. y Enable data exchange. y Develop safety, standards, and quality measures. y Establish detailed modalities for data access. y Implementation through Indian Biological Data Centre (IBDC). y India’s Ranking :4th among the top 20 contributors of biological databases....",,,Biotech-PRIDE Guidelines,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
5,2022-2023,Science and Technology v5 1 Notes,5,"IndiGau (Cattle Genomic Chip) y Introduced by National Institute of Animal Biotechnology (NIAB),Hyderabad. y Designed for conserving pure varieties of indigenous cattle breeds like Gir, Kankrej, Sahiwal, Ongole, etc. y Aims to conserve native breeds, enhance desirable traits, and contribute to doubling farmers’ income by 2022. y Manufactured in alignment with Rashtriya Gokul Mission, emblematic of Atmanirbhar Bharat. y Exemplifies the application of scientific knowledge and innovations for societal “Ease of Living.” y Purely indigenous and holds the record as the world’s largest cattle chip, featuring 11,496 markers. y Collaborative efforts with agencies like NDDB, DAHDF, and ICAR to implement the technology in the field for enhancing cattle productivity and selection of elite bulls....",,,IndiGau (Cattle Genomic Chip),file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
6,2022-2023,Science and Technology v5 1 Notes,6,"y The Human Genome Project, completed in 2003, covered 92% of the human genome sequence, leaving gaps due to technological limitations. y The Telomere to Telomere (T2T) consortium, led by researchers at NHGRI, UC Santa Cruz, and University of Washington, completed the final 8% of the genome. y The project utilised advanced DNA sequencing technologies, PacBio HiFi and Oxford Nanopore, to read longer sequences with high accuracy. y Nearly 200 million letters were added to the genetic code, focusing on centromeres and chromosome ends, contributing to a comprehensive understanding of DNA variation. y The complete genome sequence, published in Science and companion journals, facilitates studies on individual DNA differences, uncovering over 2 million unknown sequence variants. y The accomplishment provides a model for globally diverse genome sequencing, with ongoing efforts required for the Y chromosome....",,,Human Genome Project,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
7,2022-2023,Science and Technology v5 1 Notes,7,"y RNA interference (RNAi) is a regulatory system in eukaryotic cells that controls gene activity by silencing or deactivating genes. y Discovered in the 1990s by scientists Andrew Z. Fire and Craig C. Mello, who received the 2006 Nobel Prize for Physiology or Medicine for their work....",,,RNA interference (RNAi) technology,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
8,2022-2023,Science and Technology v5 1 Notes,8,"Recombinant DNA Technology, also known as genetic engineering, involves the creation of artificial DNA by combining genetic material from different sources. y The process includes isolating pure DNA, cutting genes at recognition sites using restriction enzymes, ligating the DNA fragments with DNA ligase to form recombinant DNA, and introducing it into a host cell through transformation. y After insertion into the host cell, the recombinant DNA multiplies and expresses itself as manufactured proteins under optimal conditions. y Transformed cells/organisms carry the recombinant gene to offspring, producing valuable genetic combinations for science, medicine, agriculture, and industry. Application: y Gene Therapy: Corrects gene defects causing hereditary diseases. y Clinical Diagnosis: Used in detecting Human Immunodeficiency Virus presence, with ELISA being an application of recombinant DNA technology. y Medicines: Used in the production of insulin. y Agriculture: Applied to produce gene...",,,Recombinant DNA technology,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
9,2022-2023,Science and Technology v5 1 Notes,9,"Cells are classified as y differentiated (like hair and nail cells, forming tissues and organs, unable to differentiate) y undifferentiated (stem cells, able to become various cell types). Pluripotent stem cells (embryonic stem cells) can differentiate into all cell types and potentially clone an entire organism, found in embryos. Multipotent stem cells (adult stem cells) can regenerate specific organ or tissue cells, aiding in repair and maintenance, like intestinal and bone marrow cells....",,,Stem cells,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
10,2022-2023,Science and Technology v5 1 Notes,10,"Telomere-2-Telomere (T2T) Project A global collaboration called the Telomere-2- Telomere (T2T) project has sequenced the remaining 8% of the human genome, 92% of which was already sequenced through the Human Genome Project (HGP). y HGP was started in 1988 by a special committee of the U.S. National Academy of Sciences...",,,Telomere- 2-Telomere (T2T) Project,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
