id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
1,2022-2023,Indian Polity & Governance Notes,1,"This Act was passed by the Parliament to reform the age-old Indian Penal Code (1860), the principal law on criminal offences in India. Introduced new offences: y Terrorism: An act that intends to threaten the unity, integrity, security or economic security of the country, or strike terror in the people. y Mob lynching: Murder by a group of five or more persons on grounds of certain identity markers such as caste, language or personal belief will be an offence with penalty life imprisonment or death, and with a fine. y Organized crimes: Includes crimes such as kidnapping, extortion and cyber-crime committed on behalf of a crime syndicate. y It adds community service as a form of punishment. Important Modifications: y Sedition is no longer an offence. Instead, there is a new offence for acts endangering the sovereignty, unity and integrity of India. y It criminalizes sexual intercourse with a woman by deceitful means or making false promises. y It elevates punishments for causing death b...",,,"The Bharatiya Nyaya (Second) Sanhita, 2023",file:///Users/harshvardhanjha/upsc-news-digest/docs/Polity-PT730_v3.pdf
2,2022-2023,Indian Polity & Governance Notes,2,"The Bharatiya Nagarik Suraksha (Second) Sanhita, 2023 (BNSS2) seeks to replace the Criminal Procedure Code, 1973 (CrPC), which provides for the procedure for arrest, prosecution, and bail. Key Provisions: y Forensic investigation: Mandates forensic investigation for offences punishable with seven years of imprisonment or more. y Use of Technology: All trials, inquiries, and proceedings may be held in electronic mode. y Hierarchy of Courts: It removes the classification of metropolitan areas and Metropolitan Magistrates. y Evasion from Trial: If a proclaimed offender has absconded to evade trial and there is no immediate prospect of arresting him, the trial can be conducted and judgement pronounced in his absence. y The CrPC provides for bail for an accused who has been detained for half the maximum imprisonment for the offence. The BNSS denies this facility for anyone facing multiple charges. As many cases involve charges under multiple sections, this may limit such bail....",,,"The Bharatiya Nagarik Suraksha (Second) Sanhita, 2023",file:///Users/harshvardhanjha/upsc-news-digest/docs/Polity-PT730_v3.pdf
3,2022-2023,Indian Polity & Governance Notes,3,"It replaces the Indian Evidence Act, 1872 (IEA), which governs the admissibility of evidence in Indian Courts and applies to all civil and criminal proceedings. It retains most provisions of the IEA including those on confessions, relevancy of facts, and burden of proof. Key Provisions/Changes: y The IEA provides for two kinds of evidence - documentary and oral. Documentary evidence includes primary (original documents) and secondary (that proves the contents of the original). The BSB2 retains the distinction. It classifies electronic records as documents. y Under the IEA, electronic records are categorised as secondary evidence. The BSB2 classifies electronic records as primary evidence. It expands such records to include information stored in semiconductor memory or any communication devices (smartphones, laptops). y The BSB2 expands secondary evidence to include: (i) oral and written admissions, and (ii) the testimony of a person who has examined the document and is skilled in the e...",,,"Bharatiya Sakshya (Second) Act, 2023",file:///Users/harshvardhanjha/upsc-news-digest/docs/Polity-PT730_v3.pdf
4,2022-2023,Indian Polity & Governance Notes,4,"West Bengal and Jharkhand Government is seeking recognition of Sarna religious code for tribals. Sarna Code: y Sarna followers are nature worshippers who do not consider themselves Hindus and have been fighting for a separate religious identity for decades y The holy grail of the Sarna faith is “Jal (water), Jungle (forest), Zameen (land).” y Its followers pray to the trees and hills while believing in protecting the forest areas. y Believers of the Sarna faith do not practice idol worship, nor do they adhere to the concept of the Varna system, heaven-hell, etc. y They are concentrated mainly in the tribal belt states of Odisha, Jharkhand, Bihar, West Bengal, and Assam. y Several surveys and reports have indicated that over 50 lakh tribal people in the entire country put their religion as ‘Sarna’ in the 2011 census, although it was not a code....",,,Sarna Code,file:///Users/harshvardhanjha/upsc-news-digest/docs/Polity-PT730_v3.pdf
5,2022-2023,Indian Polity & Governance Notes,5,"The Delhi High Court passed an interim order protecting the personality rights of Bollywood actor Anil Kapoor. The judgement restrained various entities from misusing his image, name, voice or other elements of his persona for monetary gains without his consent....",,,Personality Rights,file:///Users/harshvardhanjha/upsc-news-digest/docs/Polity-PT730_v3.pdf
6,2022-2023,Indian Polity & Governance Notes,6,"The recently passed Criminal Procedure (Identification) Act 2022 has come into force It repeals the existing Identification of Prisoners Act, 1920. The new law allows investigators to collect certain identifiable information of convicts and other persons for purposes of identification and investigation in criminal matters. Key provisions: y Legal sanction of data collection: It empowers police to collect fingerprints, palm prints and footprints, Photos, Iris and retina scans, behavioural attributes, etc. y Measurements and photographs for identification have three main purposes: to establish the identity of the culprit against the person being arrested, to identify suspected repetition of similar offences by the same person and to establish a previous conviction. y Persons in preventive detention: It also seeks to apply to persons detained under any preventive detention law. y It empowers the National Crime Records Bureau (NCRB) to store, preserve, share with any law enforcement agency...",,,"Craiminal Procedure (Identification) Act, 2022",file:///Users/harshvardhanjha/upsc-news-digest/docs/Polity-PT730_v3.pdf
7,2022-2023,Indian Polity & Governance Notes,7,The Election Commission of India (ECI) publishes final delimitation orders for Assembly & Parliamentary Constituencies of the State of Assam. Delimitation Commission: y It is a statutory body established by the Parliament under the Delimitation Commission Act. y It is a high-powered committee entrusted with the task of drawing and redrawing boundaries of different constituencies for state assembly and Lok Sabha election. y It is appointed by the President and works in collaboration with the Election Commission....,,,Delimitation Commission,file:///Users/harshvardhanjha/upsc-news-digest/docs/Polity-PT730_v3.pdf
8,2022-2023,Indian Polity & Governance Notes,8,"The Odisha state cabinet approved the inclusion of the Kui language in the eighth schedule of the Constitution of India. Inclusion of Kui in the eighth schedule will help in the preservation, promotion and propagation of the language and culture. 8th Schedule of the Indian Constitution: y It enlist the Official language of the Country and consists of 22 languages currently. The Indian constitution deals with the official languages in Articles 343 to 351. y 14 languages were originally listed in the Constitution and the rest were added over time. y Sindhi language was added by the 21st Amendment Act of 1967. y Konkani, Manipuri, and Nepali were included by the 71st Amendment Act of 1992. y Bodo, Dogri, Maithili, and Santhali were added by the 92nd Amendment Act of 2003 which came into force in 2004....",,,Kui language inclusion in 8th schedule gets approval of Odisha Government,file:///Users/harshvardhanjha/upsc-news-digest/docs/Polity-PT730_v3.pdf
9,2022-2023,Indian Polity & Governance Notes,9,"A bench of Justices of the Supreme Court has recently said that all accused have a right to silence and investigators cannot force them to speak up or admit guilt, emphasising that the Constitution accords every person a right against self-incrimination. Right to Silence y Right to silence emanates from Article 20(3), which states that no one can be compelled to be a witness against himself. y The provision gives an accused the right against self-incrimination -- a fundamental canon of law. y However, there are some limitations: ⚪ Protection is limited only to criminal proceedings. ⚪ Right is not available to a person being interrogated under Customs Act, 1962, or Foreign Exchange Management Act, 1999, since the person is not “accused of an offence” and isn’t entitled to a lawyer....",,,Right to Silence,file:///Users/harshvardhanjha/upsc-news-digest/docs/Polity-PT730_v3.pdf
10,2022-2023,Indian Polity & Governance Notes,10,y It is officially known as the National Commission for Religious and Linguistic Minorities. y It was constituted to look into various issues related to linguistic and religious minorities in the country. y Report by Commission (2007) recommended that Scheduled caste status be completely delinked from religion and be made religion neutral like STs. y It had recommended permitting Dalits who converted to Islam and Christianity to avail Scheduled Caste status....,,,Ranganath Mishra Commission,file:///Users/harshvardhanjha/upsc-news-digest/docs/Polity-PT730_v3.pdf
